,Class,Parent,Ancestor,Sibling
0,Tortoise,['Turtle'],"['Reptile', 'Animal']",['Sea turtle']
1,Container,['Tool'],['Building'],"['Ladder', 'Toothbrush', 'Screwdriver', 'Drill (Tool)', 'Chainsaw', 'Wrench', 'Flashlight', 'Scissors', 'Ratchet (Device)', 'Kitchen utensil', 'Hammer', 'Scale', 'Snowplow', 'Nail (Construction)', 'Tripod', 'Torch', 'Chisel', 'Axe', 'Camera', 'Grinder', 'Ruler', 'Binoculars']"
2,Magpie,['Bird'],['Animal'],"['Woodpecker', 'Blue jay', 'Ostrich', 'Penguin', 'Raven', 'Chicken', 'Eagle', 'Owl', 'Duck', 'Canary', 'Goose', 'Swan', 'Falcon', 'Parrot', 'Sparrow', 'Turkey']"
3,Sea turtle,['Turtle'],"['Reptile', 'Animal']",['Tortoise']
4,Football,['Ball'],"['Sports equipment', 'Building']","['Cricket ball', 'Volleyball (Ball)', 'Tennis ball', 'Rugby ball']"
5,Ambulance,['Land vehicle'],['Vehicle'],"['Cart', 'Bicycle', 'Bus', 'Snowmobile', 'Golf cart', 'Motorcycle', 'Segway', 'Tank', 'Train', 'Truck', 'Unicycle', 'Car', 'Taxi', 'Wheelchair']"
6,Ladder,['Tool'],['Building'],"['Container', 'Toothbrush', 'Screwdriver', 'Drill (Tool)', 'Chainsaw', 'Wrench', 'Flashlight', 'Scissors', 'Ratchet (Device)', 'Kitchen utensil', 'Hammer', 'Scale', 'Snowplow', 'Nail (Construction)', 'Tripod', 'Torch', 'Chisel', 'Axe', 'Camera', 'Grinder', 'Ruler', 'Binoculars']"
7,Toothbrush,"['Tool', 'Personal care']",['Building'],"['Container', 'Ladder', 'Screwdriver', 'Drill (Tool)', 'Chainsaw', 'Wrench', 'Flashlight', 'Scissors', 'Ratchet (Device)', 'Kitchen utensil', 'Hammer', 'Scale', 'Snowplow', 'Nail (Construction)', 'Tripod', 'Torch', 'Chisel', 'Axe', 'Camera', 'Grinder', 'Ruler', 'Binoculars', 'Sunglasses', 'Goggles', 'Crutch', 'Cream', 'Diaper', 'Glasses', 'Wheelchair']"
8,Syringe,['Medical equipment'],['Building'],"['Stretcher', 'Stethoscope', 'Band-aid']"
9,Sink,['Plumbing fixture'],[],"['Bidet', 'Shower', 'Tap', 'Bathtub', 'Toilet']"
