Ancestors,Class
"['Reptile', 'Animal']","('Tortoise', 'Sea turtle')"
['Building'],"('Container', 'Ladder')"
['Building'],"('Container', 'Toothbrush')"
['Building'],"('Container', 'Syringe')"
['Building'],"('Container', 'Organ (Musical Instrument)')"
['Building'],"('Container', 'Paddle')"
['Building'],"('Container', 'Banjo')"
['Building'],"('Container', 'Ball')"
['Building'],"('Container', 'Surfboard')"
['Building'],"('Container', 'Screwdriver')"
['Building'],"('Container', 'Drill (Tool)')"
['Building'],"('Container', 'Bow and arrow')"
['Building'],"('Container', 'Chainsaw')"
['Building'],"('Container', 'Wrench')"
['Building'],"('Container', 'Flashlight')"
['Building'],"('Container', 'Scissors')"
['Building'],"('Container', 'Cello')"
['Building'],"('Container', 'Cannon')"
['Building'],"('Container', 'Hiking equipment')"
['Building'],"('Container', 'Drum')"
['Building'],"('Container', 'Ratchet (Device)')"
['Building'],"('Container', 'Dagger')"
['Building'],"('Container', 'Stretcher')"
['Building'],"('Container', 'Flying disc')"
['Building'],"('Container', 'Treadmill')"
['Building'],"('Container', 'French horn')"
['Building'],"('Container', 'Guitar')"
['Building'],"('Container', 'Baseball bat')"
['Building'],"('Container', 'Kitchen utensil')"
['Building'],"('Container', 'Stationary bicycle')"
['Building'],"('Container', 'Hammer')"
['Building'],"('Container', 'Harp')"
['Building'],"('Container', 'Harpsichord')"
['Building'],"('Container', 'Harmonica')"
['Building'],"('Container', 'Scale')"
['Building'],"('Container', 'Indoor rower')"
['Building'],"('Container', 'Punching bag')"
['Building'],"('Container', 'Golf ball')"
['Building'],"('Container', 'Dumbbell')"
['Building'],"('Container', 'Billiard table')"
['Building'],"('Container', 'Snowplow')"
['Building'],"('Container', 'Missile')"
['Building'],"('Container', 'Mobile phone')"
['Building'],"('Container', 'Personal flotation device')"
['Building'],"('Container', 'Musical keyboard')"
['Building'],"('Container', 'Scoreboard')"
['Building'],"('Container', 'Nail (Construction)')"
['Building'],"('Container', 'Oboe')"
['Building'],"('Container', 'Piano')"
['Building'],"('Container', 'Rifle')"
['Building'],"('Container', 'Skateboard')"
['Building'],"('Container', 'Saxophone')"
['Building'],"('Container', 'Shotgun')"
['Building'],"('Container', 'Snowboard')"
['Building'],"('Container', 'Sword')"
['Building'],"('Container', 'Ski')"
['Building'],"('Container', 'Tripod')"
['Building'],"('Container', 'Stethoscope')"
['Building'],"('Container', 'Training bench')"
['Building'],"('Container', 'Trombone')"
['Building'],"('Container', 'Torch')"
['Building'],"('Container', 'Trumpet')"
['Building'],"('Container', 'Bowling equipment')"
['Building'],"('Container', 'Violin')"
['Building'],"('Container', 'Axe')"
['Building'],"('Container', 'Horizontal bar')"
['Building'],"('Container', 'Bomb')"
['Building'],"('Container', 'Parachute')"
['Building'],"('Container', 'Chisel')"
['Building'],"('Container', 'Camera')"
['Building'],"('Container', 'Racket')"
['Building'],"('Container', 'Chime')"
['Building'],"('Container', 'Handgun')"
['Building'],"('Container', 'Grinder')"
['Building'],"('Container', 'Corded phone')"
['Building'],"('Container', 'Ruler')"
['Building'],"('Container', 'Band-aid')"
['Building'],"('Container', 'Flute')"
['Building'],"('Container', 'Balance beam')"
['Building'],"('Container', 'Binoculars')"
['Building'],"('Container', 'Accordion')"
['Building'],"('Container', 'Maracas')"
['Building'],"('Container', 'Helmet')"
['Animal'],"('Magpie', 'Tick')"
['Animal'],"('Magpie', 'Centipede')"
['Animal'],"('Magpie', 'Woodpecker')"
['Animal'],"('Magpie', 'Blue jay')"
['Animal'],"('Magpie', 'Bat (Animal)')"
['Animal'],"('Magpie', 'Carnivore')"
['Animal'],"('Magpie', 'Cattle')"
['Animal'],"('Magpie', 'Camel')"
['Animal'],"('Magpie', 'Dinosaur')"
['Animal'],"('Magpie', 'Giraffe')"
['Animal'],"('Magpie', 'Rhinoceros')"
['Animal'],"('Magpie', 'Goldfish')"
['Animal'],"('Magpie', 'Goat')"
['Animal'],"('Magpie', 'Marine invertebrates')"
['Animal'],"('Magpie', 'Horse')"
['Animal'],"('Magpie', 'Hamster')"
['Animal'],"('Magpie', 'Insect')"
['Animal'],"('Magpie', 'Kangaroo')"
['Animal'],"('Magpie', 'Koala')"
['Animal'],"('Magpie', 'Lizard')"
['Animal'],"('Magpie', 'Mouse')"
['Animal'],"('Magpie', 'Ostrich')"
['Animal'],"('Magpie', 'Penguin')"
['Animal'],"('Magpie', 'Pig')"
['Animal'],"('Magpie', 'Raven')"
['Animal'],"('Magpie', 'Rabbit')"
['Animal'],"('Magpie', 'Squirrel')"
['Animal'],"('Magpie', 'Scorpion')"
['Animal'],"('Magpie', 'Snake')"
['Animal'],"('Magpie', 'Sheep')"
['Animal'],"('Magpie', 'Worm')"
['Animal'],"('Magpie', 'Zebra')"
['Animal'],"('Magpie', 'Monkey')"
['Animal'],"('Magpie', 'Chicken')"
['Animal'],"('Magpie', 'Eagle')"
['Animal'],"('Magpie', 'Owl')"
['Animal'],"('Magpie', 'Duck')"
['Animal'],"('Magpie', 'Turtle')"
['Animal'],"('Magpie', 'Hippopotamus')"
['Animal'],"('Magpie', 'Crocodile')"
['Animal'],"('Magpie', 'Spider')"
['Animal'],"('Magpie', 'Deer')"
['Animal'],"('Magpie', 'Frog')"
['Animal'],"('Magpie', 'Elephant')"
['Animal'],"('Magpie', 'Shark')"
['Animal'],"('Magpie', 'Porcupine')"
['Animal'],"('Magpie', 'Canary')"
['Animal'],"('Magpie', 'Hedgehog')"
['Animal'],"('Magpie', 'Bull')"
['Animal'],"('Magpie', 'Antelope')"
['Animal'],"('Magpie', 'Goose')"
['Animal'],"('Magpie', 'Mule')"
['Animal'],"('Magpie', 'Swan')"
['Animal'],"('Magpie', 'Falcon')"
['Animal'],"('Magpie', 'Snail')"
['Animal'],"('Magpie', 'Marine mammal')"
['Animal'],"('Magpie', 'Parrot')"
['Animal'],"('Magpie', 'Sparrow')"
['Animal'],"('Magpie', 'Turkey')"
['Animal'],"('Magpie', 'Skunk')"
['Animal'],"('Magpie', 'Rays and skates')"
['Animal'],"('Magpie', 'Seahorse')"
['Animal'],"('Magpie', 'Alpaca')"
['Animal'],"('Magpie', 'Armadillo')"
"['Reptile', 'Animal']","('Sea turtle', 'Tortoise')"
"['Sports equipment', 'Building']","('Football', 'Cricket ball')"
"['Sports equipment', 'Building']","('Football', 'Volleyball (Ball)')"
"['Sports equipment', 'Building']","('Football', 'Table tennis racket')"
"['Sports equipment', 'Building']","('Football', 'Tennis ball')"
"['Sports equipment', 'Building']","('Football', 'Tennis racket')"
"['Sports equipment', 'Building']","('Football', 'Rugby ball')"
['Vehicle'],"('Ambulance', 'Cart')"
['Vehicle'],"('Ambulance', 'Boat')"
['Vehicle'],"('Ambulance', 'Bus')"
['Vehicle'],"('Ambulance', 'Snowmobile')"
['Vehicle'],"('Ambulance', 'Jet ski')"
['Vehicle'],"('Ambulance', 'Golf cart')"
['Vehicle'],"('Ambulance', 'Motorcycle')"
['Vehicle'],"('Ambulance', 'Submarine')"
['Vehicle'],"('Ambulance', 'Segway')"
['Vehicle'],"('Ambulance', 'Train')"
['Vehicle'],"('Ambulance', 'Truck')"
['Vehicle'],"('Ambulance', 'Auto part')"
['Vehicle'],"('Ambulance', 'Helicopter')"
['Vehicle'],"('Ambulance', 'Rocket')"
['Vehicle'],"('Ambulance', 'Airplane')"
['Vehicle'],"('Ambulance', 'Unicycle')"
['Vehicle'],"('Ambulance', 'Car')"
['Vehicle'],"('Ambulance', 'Taxi')"
['Vehicle'],"('Ambulance', 'Wheelchair')"
['Building'],"('Ladder', 'Container')"
['Building'],"('Ladder', 'Toothbrush')"
['Building'],"('Ladder', 'Syringe')"
['Building'],"('Ladder', 'Organ (Musical Instrument)')"
['Building'],"('Ladder', 'Paddle')"
['Building'],"('Ladder', 'Banjo')"
['Building'],"('Ladder', 'Ball')"
['Building'],"('Ladder', 'Surfboard')"
['Building'],"('Ladder', 'Screwdriver')"
['Building'],"('Ladder', 'Drill (Tool)')"
['Building'],"('Ladder', 'Bow and arrow')"
['Building'],"('Ladder', 'Chainsaw')"
['Building'],"('Ladder', 'Wrench')"
['Building'],"('Ladder', 'Flashlight')"
['Building'],"('Ladder', 'Scissors')"
['Building'],"('Ladder', 'Cello')"
['Building'],"('Ladder', 'Cannon')"
['Building'],"('Ladder', 'Hiking equipment')"
['Building'],"('Ladder', 'Drum')"
['Building'],"('Ladder', 'Ratchet (Device)')"
['Building'],"('Ladder', 'Dagger')"
['Building'],"('Ladder', 'Stretcher')"
['Building'],"('Ladder', 'Flying disc')"
['Building'],"('Ladder', 'Treadmill')"
['Building'],"('Ladder', 'French horn')"
['Building'],"('Ladder', 'Guitar')"
['Building'],"('Ladder', 'Baseball bat')"
['Building'],"('Ladder', 'Kitchen utensil')"
['Building'],"('Ladder', 'Stationary bicycle')"
['Building'],"('Ladder', 'Hammer')"
['Building'],"('Ladder', 'Harp')"
['Building'],"('Ladder', 'Harpsichord')"
['Building'],"('Ladder', 'Harmonica')"
['Building'],"('Ladder', 'Scale')"
['Building'],"('Ladder', 'Indoor rower')"
['Building'],"('Ladder', 'Punching bag')"
['Building'],"('Ladder', 'Golf ball')"
['Building'],"('Ladder', 'Dumbbell')"
['Building'],"('Ladder', 'Billiard table')"
['Building'],"('Ladder', 'Snowplow')"
['Building'],"('Ladder', 'Missile')"
['Building'],"('Ladder', 'Mobile phone')"
['Building'],"('Ladder', 'Personal flotation device')"
['Building'],"('Ladder', 'Musical keyboard')"
['Building'],"('Ladder', 'Scoreboard')"
['Building'],"('Ladder', 'Nail (Construction)')"
['Building'],"('Ladder', 'Oboe')"
['Building'],"('Ladder', 'Piano')"
['Building'],"('Ladder', 'Rifle')"
['Building'],"('Ladder', 'Skateboard')"
['Building'],"('Ladder', 'Saxophone')"
['Building'],"('Ladder', 'Shotgun')"
['Building'],"('Ladder', 'Snowboard')"
['Building'],"('Ladder', 'Sword')"
['Building'],"('Ladder', 'Ski')"
['Building'],"('Ladder', 'Tripod')"
['Building'],"('Ladder', 'Stethoscope')"
['Building'],"('Ladder', 'Training bench')"
['Building'],"('Ladder', 'Trombone')"
['Building'],"('Ladder', 'Torch')"
['Building'],"('Ladder', 'Trumpet')"
['Building'],"('Ladder', 'Bowling equipment')"
['Building'],"('Ladder', 'Violin')"
['Building'],"('Ladder', 'Axe')"
['Building'],"('Ladder', 'Horizontal bar')"
['Building'],"('Ladder', 'Bomb')"
['Building'],"('Ladder', 'Parachute')"
['Building'],"('Ladder', 'Chisel')"
['Building'],"('Ladder', 'Camera')"
['Building'],"('Ladder', 'Racket')"
['Building'],"('Ladder', 'Chime')"
['Building'],"('Ladder', 'Handgun')"
['Building'],"('Ladder', 'Grinder')"
['Building'],"('Ladder', 'Corded phone')"
['Building'],"('Ladder', 'Ruler')"
['Building'],"('Ladder', 'Band-aid')"
['Building'],"('Ladder', 'Flute')"
['Building'],"('Ladder', 'Balance beam')"
['Building'],"('Ladder', 'Binoculars')"
['Building'],"('Ladder', 'Accordion')"
['Building'],"('Ladder', 'Maracas')"
['Building'],"('Ladder', 'Helmet')"
['Building'],"('Toothbrush', 'Container')"
['Building'],"('Toothbrush', 'Ladder')"
['Building'],"('Toothbrush', 'Syringe')"
['Building'],"('Toothbrush', 'Organ (Musical Instrument)')"
['Building'],"('Toothbrush', 'Paddle')"
['Building'],"('Toothbrush', 'Banjo')"
['Building'],"('Toothbrush', 'Ball')"
['Building'],"('Toothbrush', 'Surfboard')"
['Building'],"('Toothbrush', 'Screwdriver')"
['Building'],"('Toothbrush', 'Drill (Tool)')"
['Building'],"('Toothbrush', 'Bow and arrow')"
['Building'],"('Toothbrush', 'Chainsaw')"
['Building'],"('Toothbrush', 'Wrench')"
['Building'],"('Toothbrush', 'Flashlight')"
['Building'],"('Toothbrush', 'Scissors')"
['Building'],"('Toothbrush', 'Cello')"
['Building'],"('Toothbrush', 'Cannon')"
['Building'],"('Toothbrush', 'Hiking equipment')"
['Building'],"('Toothbrush', 'Drum')"
['Building'],"('Toothbrush', 'Ratchet (Device)')"
['Building'],"('Toothbrush', 'Dagger')"
['Building'],"('Toothbrush', 'Stretcher')"
['Building'],"('Toothbrush', 'Flying disc')"
['Building'],"('Toothbrush', 'Treadmill')"
['Building'],"('Toothbrush', 'French horn')"
['Building'],"('Toothbrush', 'Guitar')"
['Building'],"('Toothbrush', 'Baseball bat')"
['Building'],"('Toothbrush', 'Kitchen utensil')"
['Building'],"('Toothbrush', 'Stationary bicycle')"
['Building'],"('Toothbrush', 'Hammer')"
['Building'],"('Toothbrush', 'Harp')"
['Building'],"('Toothbrush', 'Harpsichord')"
['Building'],"('Toothbrush', 'Harmonica')"
['Building'],"('Toothbrush', 'Scale')"
['Building'],"('Toothbrush', 'Indoor rower')"
['Building'],"('Toothbrush', 'Punching bag')"
['Building'],"('Toothbrush', 'Golf ball')"
['Building'],"('Toothbrush', 'Dumbbell')"
['Building'],"('Toothbrush', 'Billiard table')"
['Building'],"('Toothbrush', 'Snowplow')"
['Building'],"('Toothbrush', 'Missile')"
['Building'],"('Toothbrush', 'Mobile phone')"
['Building'],"('Toothbrush', 'Personal flotation device')"
['Building'],"('Toothbrush', 'Musical keyboard')"
['Building'],"('Toothbrush', 'Scoreboard')"
['Building'],"('Toothbrush', 'Nail (Construction)')"
['Building'],"('Toothbrush', 'Oboe')"
['Building'],"('Toothbrush', 'Piano')"
['Building'],"('Toothbrush', 'Rifle')"
['Building'],"('Toothbrush', 'Skateboard')"
['Building'],"('Toothbrush', 'Saxophone')"
['Building'],"('Toothbrush', 'Shotgun')"
['Building'],"('Toothbrush', 'Snowboard')"
['Building'],"('Toothbrush', 'Sword')"
['Building'],"('Toothbrush', 'Ski')"
['Building'],"('Toothbrush', 'Tripod')"
['Building'],"('Toothbrush', 'Stethoscope')"
['Building'],"('Toothbrush', 'Training bench')"
['Building'],"('Toothbrush', 'Trombone')"
['Building'],"('Toothbrush', 'Torch')"
['Building'],"('Toothbrush', 'Trumpet')"
['Building'],"('Toothbrush', 'Bowling equipment')"
['Building'],"('Toothbrush', 'Violin')"
['Building'],"('Toothbrush', 'Axe')"
['Building'],"('Toothbrush', 'Horizontal bar')"
['Building'],"('Toothbrush', 'Bomb')"
['Building'],"('Toothbrush', 'Parachute')"
['Building'],"('Toothbrush', 'Chisel')"
['Building'],"('Toothbrush', 'Camera')"
['Building'],"('Toothbrush', 'Racket')"
['Building'],"('Toothbrush', 'Chime')"
['Building'],"('Toothbrush', 'Handgun')"
['Building'],"('Toothbrush', 'Grinder')"
['Building'],"('Toothbrush', 'Corded phone')"
['Building'],"('Toothbrush', 'Ruler')"
['Building'],"('Toothbrush', 'Band-aid')"
['Building'],"('Toothbrush', 'Flute')"
['Building'],"('Toothbrush', 'Balance beam')"
['Building'],"('Toothbrush', 'Binoculars')"
['Building'],"('Toothbrush', 'Accordion')"
['Building'],"('Toothbrush', 'Maracas')"
['Building'],"('Toothbrush', 'Helmet')"
['Building'],"('Syringe', 'Container')"
['Building'],"('Syringe', 'Ladder')"
['Building'],"('Syringe', 'Toothbrush')"
['Building'],"('Syringe', 'Organ (Musical Instrument)')"
['Building'],"('Syringe', 'Paddle')"
['Building'],"('Syringe', 'Banjo')"
['Building'],"('Syringe', 'Ball')"
['Building'],"('Syringe', 'Surfboard')"
['Building'],"('Syringe', 'Screwdriver')"
['Building'],"('Syringe', 'Drill (Tool)')"
['Building'],"('Syringe', 'Bow and arrow')"
['Building'],"('Syringe', 'Chainsaw')"
['Building'],"('Syringe', 'Wrench')"
['Building'],"('Syringe', 'Flashlight')"
['Building'],"('Syringe', 'Scissors')"
['Building'],"('Syringe', 'Cello')"
['Building'],"('Syringe', 'Cannon')"
['Building'],"('Syringe', 'Hiking equipment')"
['Building'],"('Syringe', 'Drum')"
['Building'],"('Syringe', 'Ratchet (Device)')"
['Building'],"('Syringe', 'Dagger')"
['Building'],"('Syringe', 'Stretcher')"
['Building'],"('Syringe', 'Flying disc')"
['Building'],"('Syringe', 'Treadmill')"
['Building'],"('Syringe', 'French horn')"
['Building'],"('Syringe', 'Guitar')"
['Building'],"('Syringe', 'Baseball bat')"
['Building'],"('Syringe', 'Kitchen utensil')"
['Building'],"('Syringe', 'Stationary bicycle')"
['Building'],"('Syringe', 'Hammer')"
['Building'],"('Syringe', 'Harp')"
['Building'],"('Syringe', 'Harpsichord')"
['Building'],"('Syringe', 'Harmonica')"
['Building'],"('Syringe', 'Scale')"
['Building'],"('Syringe', 'Indoor rower')"
['Building'],"('Syringe', 'Punching bag')"
['Building'],"('Syringe', 'Golf ball')"
['Building'],"('Syringe', 'Dumbbell')"
['Building'],"('Syringe', 'Billiard table')"
['Building'],"('Syringe', 'Snowplow')"
['Building'],"('Syringe', 'Missile')"
['Building'],"('Syringe', 'Mobile phone')"
['Building'],"('Syringe', 'Personal flotation device')"
['Building'],"('Syringe', 'Musical keyboard')"
['Building'],"('Syringe', 'Scoreboard')"
['Building'],"('Syringe', 'Nail (Construction)')"
['Building'],"('Syringe', 'Oboe')"
['Building'],"('Syringe', 'Piano')"
['Building'],"('Syringe', 'Rifle')"
['Building'],"('Syringe', 'Skateboard')"
['Building'],"('Syringe', 'Saxophone')"
['Building'],"('Syringe', 'Shotgun')"
['Building'],"('Syringe', 'Snowboard')"
['Building'],"('Syringe', 'Sword')"
['Building'],"('Syringe', 'Ski')"
['Building'],"('Syringe', 'Tripod')"
['Building'],"('Syringe', 'Stethoscope')"
['Building'],"('Syringe', 'Training bench')"
['Building'],"('Syringe', 'Trombone')"
['Building'],"('Syringe', 'Torch')"
['Building'],"('Syringe', 'Trumpet')"
['Building'],"('Syringe', 'Bowling equipment')"
['Building'],"('Syringe', 'Violin')"
['Building'],"('Syringe', 'Axe')"
['Building'],"('Syringe', 'Horizontal bar')"
['Building'],"('Syringe', 'Bomb')"
['Building'],"('Syringe', 'Parachute')"
['Building'],"('Syringe', 'Chisel')"
['Building'],"('Syringe', 'Camera')"
['Building'],"('Syringe', 'Racket')"
['Building'],"('Syringe', 'Chime')"
['Building'],"('Syringe', 'Handgun')"
['Building'],"('Syringe', 'Grinder')"
['Building'],"('Syringe', 'Corded phone')"
['Building'],"('Syringe', 'Ruler')"
['Building'],"('Syringe', 'Band-aid')"
['Building'],"('Syringe', 'Flute')"
['Building'],"('Syringe', 'Balance beam')"
['Building'],"('Syringe', 'Binoculars')"
['Building'],"('Syringe', 'Accordion')"
['Building'],"('Syringe', 'Maracas')"
['Building'],"('Syringe', 'Helmet')"
['Building'],"('Organ (Musical Instrument)', 'Container')"
['Building'],"('Organ (Musical Instrument)', 'Ladder')"
['Building'],"('Organ (Musical Instrument)', 'Toothbrush')"
['Building'],"('Organ (Musical Instrument)', 'Syringe')"
['Building'],"('Organ (Musical Instrument)', 'Paddle')"
['Building'],"('Organ (Musical Instrument)', 'Banjo')"
['Building'],"('Organ (Musical Instrument)', 'Ball')"
['Building'],"('Organ (Musical Instrument)', 'Surfboard')"
['Building'],"('Organ (Musical Instrument)', 'Screwdriver')"
['Building'],"('Organ (Musical Instrument)', 'Drill (Tool)')"
['Building'],"('Organ (Musical Instrument)', 'Bow and arrow')"
['Building'],"('Organ (Musical Instrument)', 'Chainsaw')"
['Building'],"('Organ (Musical Instrument)', 'Wrench')"
['Building'],"('Organ (Musical Instrument)', 'Flashlight')"
['Building'],"('Organ (Musical Instrument)', 'Scissors')"
['Building'],"('Organ (Musical Instrument)', 'Cello')"
['Building'],"('Organ (Musical Instrument)', 'Cannon')"
['Building'],"('Organ (Musical Instrument)', 'Hiking equipment')"
['Building'],"('Organ (Musical Instrument)', 'Drum')"
['Building'],"('Organ (Musical Instrument)', 'Ratchet (Device)')"
['Building'],"('Organ (Musical Instrument)', 'Dagger')"
